uesi_id,city,year,pm25_mean,who_year,who_val,term,estimate,std.error,statistic,p.value,trend
AFG_N21716195,"Kabul, AFG",1998,9.38,2021,Within WHO Interim Target 4 of 10ug/m^3,year,0.675981011,0.162034048,4.171845478,0.000126001,"Kabul, AFG(<span style='color: red;'>&#x25BC;</span>)"
AFG_N21716195,"Kabul, AFG",1998,9.38,2005,Within Recommended Value of 10ug/m^3,year,0.675981011,0.162034048,4.171845478,0.000126001,"Kabul, AFG(<span style='color: red;'>&#x25BC;</span>)"
AFG_N21716195,"Kabul, AFG",1999,10.47,2021,Within WHO Interim Target 3 of 15ug/m^3,year,0.675981011,0.162034048,4.171845478,0.000126001,"Kabul, AFG(<span style='color: red;'>&#x25BC;</span>)"
AFG_N21716195,"Kabul, AFG",1999,10.47,2005,Within WHO Interim Target 3 of 15ug/m^3,year,0.675981011,0.162034048,4.171845478,0.000126001,"Kabul, AFG(<span style='color: red;'>&#x25BC;</span>)"
AFG_N21716195,"Kabul, AFG",2000,29.66,2021,Within WHO Interim Target 1 of 35ug/m^3,year,0.675981011,0.162034048,4.171845478,0.000126001,"Kabul, AFG(<span style='color: red;'>&#x25BC;</span>)"
AFG_N21716195,"Kabul, AFG",2000,29.66,2005,Within WHO Interim Target 1 of 35ug/m^3,year,0.675981011,0.162034048,4.171845478,0.000126001,"Kabul, AFG(<span style='color: red;'>&#x25BC;</span>)"
AFG_N21716195,"Kabul, AFG",2001,33.11,2021,Within WHO Interim Target 1 of 35ug/m^3,year,0.675981011,0.162034048,4.171845478,0.000126001,"Kabul, AFG(<span style='color: red;'>&#x25BC;</span>)"
AFG_N21716195,"Kabul, AFG",2001,33.11,2005,Within WHO Interim Target 1 of 35ug/m^3,year,0.675981011,0.162034048,4.171845478,0.000126001,"Kabul, AFG(<span style='color: red;'>&#x25BC;</span>)"
AFG_N21716195,"Kabul, AFG",2002,31.86,2021,Within WHO Interim Target 1 of 35ug/m^3,year,0.675981011,0.162034048,4.171845478,0.000126001,"Kabul, AFG(<span style='color: red;'>&#x25BC;</span>)"
AFG_N21716195,"Kabul, AFG",2002,31.86,2005,Within WHO Interim Target 1 of 35ug/m^3,year,0.675981011,0.162034048,4.171845478,0.000126001,"Kabul, AFG(<span style='color: red;'>&#x25BC;</span>)"
AFG_N21716195,"Kabul, AFG",2003,25.605,2021,Within WHO Interim Target 1 of 35ug/m^3,year,0.675981011,0.162034048,4.171845478,0.000126001,"Kabul, AFG(<span style='color: red;'>&#x25BC;</span>)"
